Model,Version,Model Size,RNN Through,RNN Median Latency,Language Through,Language Median Latency,WER,PER,Number of Classes
Baseline,Validation,169.0489845,81.62660185,9.652256966,3.232961249,224.0120173,7.136050821,10.099,41
Baseline,Test,169.0489845,90.73213902,9.714007378,3.372304021,296.4830267,7.485,,41
Diphone,Validation,171.4984589,86.40385064,9.76228714,1.788539989,415.0334597,8.332451032,11.038,876
Diphone,Test,171.4984589,84.4202002,9.785532951,1.776832177,430.0224781,8.709,,876
Reduced,Validation,169.02845,95.03926574,9.588837624,2.836698182,257.0825815,7.157226046,9.35,34
Reduced,Test,169.02845,99.13124597,9.643673897,2.715374439,270.3881264,6.858,,34
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, ,
